Temp,RH,WS,WD,SR
30.63,57.08,0.36,192.4,126.21
30.32,54.63,0.24,175.27,122.08
29.14,55.54,0.13,165.14,131.91
28.62,49.24,0.37,185.21,121.58
28.42,49.16,0.09,158.78,126.84
28.81,62.53,0.09,113.06,129.13
30.01,67.53,0.13,173.61,108.35
30.18,71.89,0.13,123.13,121.67
30.68,68.42,0.15,147.38,124.39
30.57,68.53,0.13,138.03,109.5
30.27,70.38,0.12,152.28,105.55
29.55,68.68,0.09,129.94,100.42
29.07,63.55,0.1,154.12,99.22
28.48,68.95,0.1,160.44,115.28
28.25,72.65,0.09,116.45,111.14
28.55,63.15,0.09,116.86,123.32
27.92,63.84,0.09,113.01,104.94
28.28,67.09,0.1,85.54,89.62
28.49,65.75,0.09,122.29,99.43
29.22,50.21,0.18,174.08,112.09
29.1,53.99,0.16,114.98,89.99
29.88,62.59,0.18,206.29,121.92
NaN,NaN,NaN,NaN,NaN
31.5,66.74,0.1,100.3,93.72
29.48,70.71,0.12,117.28,92.73
29.05,60.5,0.14,122.48,94.99
28.2,59.52,0.1,181.45,108.19
28.09,60.49,0.1,131.32,106.19
27.98,53.19,0.1,196.57,109.45
28.57,52.08,0.18,148.65,104.64
28.49,56.52,0.17,164.32,100.65
29.27,59.42,0.1,172.28,86.04
29.79,67.81,0.12,167.61,88.98
27.38,77.69,0.1,140.64,58.79
27.29,79.45,0.1,126.99,58.06
26.69,76.66,0.15,137.26,47.85
25.44,89.65,0.17,128.37,67.88
26.54,84.61,0.14,112.9,101.44
26.91,83.06,0.1,145.36,118.21
29.12,75.41,0.14,134.35,150.47
27.65,76.71,0.12,150.82,104.94
28.34,63.38,0.24,138.56,102.18
27.56,59.72,0.15,124.41,109.33
27.33,56.09,0.3,149.04,104.17
26.31,57.45,0.25,120.71,104.85
25.81,61.18,0.1,92.56,139.35
28.56,58.59,0.1,70.79,157.91
27.84,65.69,0.1,151.08,106.17
28.46,64.69,0.14,194.07,105.58
27.2,71.12,0.15,109.28,95.25
24.81,57.23,0.22,66.03,116.04
23.97,63.37,0.13,139.2,111.76
24.72,71.52,0.1,142.62,94.02
27.01,69.22,0.14,97.68,96.74
27.91,73.28,0.1,129.34,90.79
26.85,78.24,0.15,106.99,84.23
25.44,72.22,0.14,131.5,89.15
25.63,69.67,0.1,123.75,74.33
25.59,67.74,0.24,100.36,95.96
25.42,68.09,0.18,97.06,96.97
26.55,69.34,0.1,124.38,82.97
27.01,82.28,0.1,153.88,62.62
27.3,82.85,0.1,80.29,92.11
28.61,79.38,0.15,133.76,101.22
28.89,78.56,0.1,102.13,103.33
29.13,75.26,0.15,90.76,108.29
28.39,71.54,0.13,50.24,100.8
27.18,70.2,0.1,97.95,111.14
25.92,73.73,0.09,86.13,110.78
25.61,67.09,0.12,110.08,117.5
26.24,70.56,0.1,89.14,119.1
26.91,71.19,0.11,109.28,113.76
27.32,65.8,0.1,129.81,119.41
27.16,62.67,0.16,55.85,121.14
25.98,61.31,0.11,63.93,130.62
25.74,70.53,0.14,144.99,120.67
26.98,67.5,0.12,175.75,132.43
27.32,64.39,0.23,54.6,172.39
24.88,63.47,0.37,105.93,123.75
24.4,69.11,0.24,98.83,127.41
24.02,71.45,0.11,74.62,130.57
24.07,72.39,0.13,130.81,121.99
24.43,70.92,0.1,162.45,125.4
25.82,63.84,0.21,79.06,128.54
25.79,61.75,0.32,78.65,123.69
27.58,62.61,0.2,106.29,115.29
29.14,54.71,0.32,125.67,125.63
28.1,57.57,0.23,195.32,126.19
26.94,61.79,0.12,117.15,119.72
26.64,60.51,0.35,75.43,122.34
27.15,48.6,0.33,150.57,126.64
28.8,40,0.51,170.14,132.76
28.3,41.9,0.39,144.94,141.13
27.71,47.46,0.23,123.33,147.85
26.55,61.11,0.1,126.5,133.83
26.9,65.53,0.1,119.28,127.12
26.81,68.5,0.09,109.93,120.72
26.86,62.66,0.1,191.04,123.57
26.93,72.27,0.12,96.42,121.58
26.61,72.35,0.1,151.71,162.69
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
29.79,57.33,0.22,112.63,149.21
28.87,65.85,0.17,134.28,151.25
29.83,62.26,0.3,103.33,184.42
30,59.91,0.19,90.62,151.88
30.15,58.48,0.19,139.33,148.29
29.89,56.48,0.15,165.43,156.63
29.75,50.92,0.15,131.58,156.87
29.88,54.45,0.12,195.68,152.49
29.9,64.96,0.17,204.61,152
28.83,79.67,0.1,211.11,147.99
29.35,66.36,0.12,168.53,153.65
28.68,61.81,0.18,57.83,150.13
28.96,70.44,0.1,158.03,170.88
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
31.89,53.89,0.1,146.06,15.34
32.53,48.77,0.14,162.71,233.29
34.74,40.84,0.13,226.88,134.67
33.56,38.06,0.11,183.83,167.45
30.8,68.91,0.17,215.93,173.37
30.57,79.7,0.18,149.27,161.68
29.71,78.28,0.18,175.73,164.26
29.39,78.04,0.1,158.26,178.01
30.17,77.4,0.2,248.16,174.79
30.08,71.72,0.23,234.91,177.56
29.39,74.47,0.27,212.38,151.25
30.24,73.54,0.3,186.98,171.5
30.34,75.02,0.32,155.68,179.23
31.25,66.5,0.2,162.99,172.85
31.03,71.95,0.26,136.24,170.96
30.31,77.56,0.13,167.18,98.31
30.22,78.93,0.21,194.61,142.81
30.1,79.65,0.14,159.16,155.48
30.74,78.89,0.2,165.65,189.14
31.85,73.9,0.17,180.48,195.75
32.12,73.85,0.11,179.32,191.02
31.97,75.07,0.42,235.27,181.67
31.49,75.11,0.22,221.05,209.33
30.69,76.68,0.37,242.59,215.92
30.96,77.69,0.21,131.76,207.81
31.94,78.24,0.17,194.74,212.72
31.44,77.23,0.16,222.86,208.73
31.16,75.91,0.12,234.38,230.75
30.85,75.48,0.11,138.68,168.72
31.25,74.83,0.17,94.4,155.74
31.39,69.15,0.13,157.91,195.65
30.89,74.05,0.21,163.69,231.02
32.13,72.76,0.25,148.02,227.12
32.31,79.28,0.12,218.22,200.5
32.07,75.47,0.13,229.74,193.45
31.88,75.51,0.1,177.12,203.39
32.09,76.25,0.11,173.24,185.83
50.07,78.94,0.22,165.74,201.56
54.18,76.38,0.11,161.27,149.6
47.5,75.2,0.1,186.72,143.42
57.76,71.38,0.09,164.24,222.11
57.9,85.1,0.1,4.3,14
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
57.9,88.9,0.1,26.3,13
NaN,NaN,NaN,NaN,NaN
57.9,86,0.1,132.3,17
57.9,82.5,0.1,85.3,16
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
57.9,75.5,0.1,347.3,14
NaN,NaN,NaN,NaN,NaN
57.9,82.4,0.1,351.3,15
NaN,NaN,NaN,NaN,NaN
57.9,89.24,1.53,196.7,21.8
57.9,92.92,0.46,257.5,51.2
57.9,93.39,0.1,260.01,64.57
NaN,NaN,NaN,NaN,NaN
57.9,94.3,0.1,320.3,NaN
57.9,86.5,0.1,334.63,21
57.9,93.9,0.1,55.3,211
57.9,82.7,0.1,9.3,83
57.9,73.9,0.1,57.3,777.97
57.9,82.65,0.1,60.8,19.25
57.9,78.3,0.1,64.3,20
57.9,82.98,0.1,56.3,20.75
57.9,84.75,0.1,58.55,28.75
57.9,82.7,0.1,58.3,20
57.9,80.25,0.1,188.8,56
57.9,92.9,0.1,46.97,17.67
57.9,94.16,0.1,88.42,36.38
57.9,86.3,0.1,58.3,NaN
57.9,76.5,0.1,57.3,21
57.9,78.76,0.1,287.5,19.8
50.14,78.28,0.46,146.1,123.5
57.9,89.58,0.1,214.47,37
52.75,84.11,0.29,193.01,31.64
57.9,99.9,0.1,186.96,30.07
57.9,98.19,0.35,308.46,66.06
57.9,99.9,0.3,266,63.9
57.9,96.17,0.1,276.68,66.19
57.9,93.27,0.1,306.73,76.36
57.9,87.01,0.1,314.86,178.78
57.9,95.76,0.1,322.6,129.2
57.9,96.45,0.37,273.94,144.12
44.4,98.65,0.15,271.15,82
31.43,93.38,0.11,306.36,245.29
32.2,90.02,0.32,278.08,178.93
32.2,88.22,0.1,324.9,202.19
32.23,86.54,0.11,176.6,198.66
30.3,82.27,0.12,188.89,199.88
42.55,79.76,0.1,247.72,194.04
57.9,81.87,0.1,278.61,129.36
57.9,94.89,0.1,208.01,52.66
57.9,86.53,0.1,189.18,242.29
57.43,93.21,0.1,160.67,72.75
55.36,88.96,0.1,226.42,195.67
48.14,86.02,0.1,15.88,163.58
56.29,87.61,0.1,17.05,181.27
51.78,80.62,0.17,16.47,193.58
3.84,81.13,0.18,16.51,185.91
3.85,77.87,0.1,16.3,252.48
2.14,80.28,0.1,16.26,235.96
13.66,79.01,0.1,16.05,174.83
25.2,80.46,0.1,16.26,182.34
14.29,79.26,0.2,17.05,232.08
20.57,92.49,0.1,19.7,73.25
29.03,93.04,0.16,53.13,112.62
29.03,95.61,0.18,44.62,90.92
29.03,94.48,0.14,39.27,127.75
27.3,95.48,0.45,35.43,83.29
28.38,99.39,0.26,37.01,95.91
26.31,99.12,0.19,26.41,97.55
20.97,96.69,0.11,26.04,172.18
20.31,98.29,0.1,25.93,92.93
45.94,98.81,0.11,28.2,96.54
26.75,98.35,0.39,26.25,48.83
22.45,99.64,0.11,26.89,22.52
26.57,94.25,0.27,27.73,53.6
26.66,97.68,0.49,25.86,19.65
26.47,97.1,0.67,24.87,25.15
26.75,97.98,0.28,24.58,33.65
26.75,91.53,0.43,25.19,88
26.75,92.43,0.51,25.05,68.65
55,84.13,0.79,25.06,110.92
57.9,85.31,0.45,25.34,168.85
57.9,86.69,0.32,24.97,119.1
57.65,87.15,0.1,24.88,92.04
47.03,88.19,0.1,24.84,78.45
44.53,86.42,0.1,24.72,127.71
56.25,86.85,0.13,25.04,105.87
39.26,88.2,0.91,26.49,112.42
30.3,93.08,0.34,25.01,142.1
30.3,89.21,0.17,25.54,132.88
26.18,87.95,0.16,23.64,172.3
10.95,86.3,0.39,23.72,154.7
14.17,84.96,0.1,23.15,228.98
57.9,84.01,0.1,22.71,104.33
44.81,83.22,0.1,22.8,216.12
21.97,82.28,0.1,22.8,173.55
26.23,80.01,0.1,22.72,274.75
21.3,89.09,0.1,22.72,273.6
35.3,88.15,0.1,22.55,272
35.3,92.4,0.13,24.35,232
35.3,98.68,0.21,28.42,NaN
32.74,95.47,0.34,23.97,NaN
30.3,91.44,0.1,22.97,NaN
30.3,99.01,0.1,22.46,NaN
30.3,99.9,0.26,116.69,NaN
30.3,99.8,0.45,223.25,NaN
30.3,99.49,0.45,223.25,NaN
30.3,93.15,0.45,223.63,NaN
30.3,87.03,0.45,224.24,281.08
30.3,87.21,0.47,224.12,374.44
30.3,89.08,0.45,223.74,204.8
30.3,93.32,0.45,223.86,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
57.9,95.51,0.1,21.79,70.86
57.9,97.84,0.1,21.56,122.46
57.9,97.51,0.14,24.55,153.76
57.9,95.23,0.09,41.28,132.29
47.68,89.55,0.09,42.63,174.47
32.3,98.79,0.1,31.43,57.68
32.3,97.89,0.09,28.07,92.62
32.3,92.53,0.09,29.99,161.65
32.3,89.77,0.09,40.72,169.68
32.3,96.36,0.09,31.02,80.36
32.3,99.9,0.1,31.14,73.66
32.3,97.83,0.44,74.93,36.58
32.3,92.19,0.09,161.06,126.57
32.3,88.81,0.09,98.14,103.42
32.3,85.68,0.09,100.46,167.09
32.3,90.88,0.09,110.05,177.44
35.88,83.58,0.09,66.9,41.52
30.1,90.73,0.09,38.59,183.36
